P,H,T,RH,U,V
814,1835,16.9,96.3,-1.6,-3.0
814,1839,16.9,96.3,-1.7,-3.1
813,1843,16.9,96.2,-1.7,-3.0
813,1848,16.9,96.0,-1.8,-3.0
812,1853,16.9,95.5,-1.8,-3.0
812,1858,16.9,95.0,-1.9,-3.0
811,1863,16.8,94.7,-1.9,-2.9
811,1869,16.8,94.2,-1.9,-2.9
811,1874,16.8,93.9,-2.0,-3.0
810,1877,16.8,93.8,-2.0,-3.0
810,1881,16.8,93.9,-2.0,-3.0
809,1885,16.8,94.0,-2.0,-3.0
809,1887,16.8,94.1,-2.1,-2.9
809,1892,16.8,94.2,-2.1,-2.9
808,1897,16.8,94.2,-2.1,-2.9
808,1901,16.8,94.2,-2.1,-2.9
807,1906,16.8,94.1,-2.2,-3.0
807,1909,16.7,94.2,-2.2,-3.0
807,1914,16.7,94.3,-2.2,-3.0
806,1920,16.7,94.3,-2.2,-3.0
806,1925,16.7,94.2,-2.2,-3.0
805,1928,16.7,94.0,-2.3,-3.1
805,1932,16.7,93.9,-2.3,-3.0
804,1936,16.7,94.0,-2.3,-3.0
804,1941,16.6,94.0,-2.3,-3.0
804,1947,16.6,94.0,-2.3,-3.0
803,1950,16.6,93.8,-2.4,-3.1
803,1954,16.6,93.6,-2.4,-3.1
802,1959,16.6,93.7,-2.4,-3.0
802,1964,16.6,94.1,-2.5,-3.0
802,1967,16.6,94.7,-2.5,-3.0
801,1970,16.6,95.0,-2.6,-3.1
801,1975,16.5,95.0,-2.6,-3.0
800,1980,16.5,94.9,-2.6,-3.0
800,1984,16.5,94.8,-2.7,-3.0
799,1989,16.5,94.8,-2.7,-3.0
799,1995,16.4,95.2,-2.7,-2.9
799,2001,16.4,95.6,-2.7,-2.8
798,2006,16.4,95.7,-2.7,-2.8
798,2011,16.4,95.6,-2.7,-2.8
797,2016,16.3,95.5,-2.8,-2.7
797,2020,16.3,95.8,-2.7,-2.6
796,2023,16.3,96.2,-2.8,-2.6
796,2026,16.2,96.7,-2.8,-2.6
796,2031,16.2,97.2,-2.8,-2.4
795,2036,16.2,97.4,-2.8,-2.4
795,2040,16.1,97.3,-2.8,-2.3
794,2044,16.1,97.2,-2.8,-2.1
794,2049,16.1,97.2,-2.8,-2.1
794,2052,16.1,97.5,-2.8,-2.0
793,2057,16.0,98.1,-2.8,-1.9
793,2062,16.0,98.7,-2.9,-1.8
792,2067,15.9,99.1,-2.9,-1.6
792,2071,15.9,99.1,-2.9,-1.6
791,2077,15.8,99.0,-2.9,-1.4
791,2083,15.8,98.9,-2.9,-1.3
790,2087,15.8,98.2,-3.0,-1.2
790,2092,15.8,97.5,-3.0,-1.1
789,2098,15.9,96.6,-3.0,-1.0
789,2103,15.9,95.3,-3.1,-0.9
788,2109,16.0,94.2,-3.1,-0.8
788,2116,16.0,94.1,-3.1,-0.7
787,2124,15.9,94.9,-3.1,-0.6
787,2129,15.9,95.6,-3.2,-0.5
786,2134,15.8,96.1,-3.2,-0.4
786,2140,15.8,96.0,-3.3,-0.3
785,2146,15.8,95.8,-3.3,-0.3
785,2151,15.8,95.5,-3.3,-0.2
784,2155,15.8,94.8,-3.3,-0.1
784,2161,15.8,94.5,-3.3,-0.1
783,2165,15.7,95.1,-3.3,-0.1
783,2169,15.6,96.4,-3.3,0.0
782,2175,15.5,98.2,-3.3,0.0
782,2179,15.4,99.0,-3.3,0.0
782,2182,15.4,98.5,-3.3,0.0
781,2186,15.4,98.2,-3.3,0.0
781,2190,15.4,98.4,-3.3,0.0
780,2195,15.4,98.3,-3.3,0.0
780,2200,15.4,97.8,-3.3,0.0
780,2205,15.4,96.8,-3.3,0.0
779,2210,15.4,96.5,-3.3,-0.1
779,2216,15.4,96.7,-3.3,-0.1
778,2221,15.3,96.9,-3.3,-0.1
778,2224,15.3,97.1,-3.3,-0.1
777,2229,15.3,97.3,-3.4,-0.2
777,2236,15.2,97.6,-3.4,-0.2
776,2241,15.2,97.6,-3.4,-0.2
776,2245,15.2,97.0,-3.5,-0.3
775,2250,15.2,96.9,-3.5,-0.3
775,2256,15.1,98.0,-3.6,-0.3
774,2262,15.0,99.5,-3.6,-0.4
774,2267,15.0,100.0,-3.7,-0.4
774,2271,15.0,100.0,-3.8,-0.4
773,2276,15.0,100.0,-3.8,-0.4
773,2281,15.0,100.0,-3.9,-0.5
772,2284,15.0,100.0,-4.0,-0.5
772,2288,14.9,100.0,-4.1,-0.5
772,2293,14.9,100.0,-4.2,-0.5
771,2295,14.9,99.8,-4.3,-0.6
771,2299,14.8,100.0,-4.4,-0.6
771,2303,14.8,100.0,-4.4,-0.6
770,2308,14.8,100.0,-4.5,-0.6
770,2311,14.8,100.0,-4.6,-0.6
770,2315,14.8,100.0,-4.7,-0.6
769,2319,14.8,100.0,-4.8,-0.6
769,2324,14.8,100.0,-4.9,-0.6
768,2327,14.8,100.0,-4.9,-0.6
768,2331,14.8,100.0,-5.0,-0.6
768,2335,14.8,100.0,-5.1,-0.6
767,2338,14.8,100.0,-5.1,-0.6
767,2342,14.8,100.0,-5.2,-0.6
767,2346,14.8,100.0,-5.2,-0.6
766,2349,14.7,100.0,-5.2,-0.6
766,2353,14.7,100.0,-5.3,-0.6
766,2357,14.7,100.0,-5.3,-0.6
765,2360,14.7,100.0,-5.3,-0.6
765,2364,14.7,100.0,-5.3,-0.5
765,2370,14.7,100.0,-5.3,-0.5
764,2374,14.7,100.0,-5.3,-0.5
764,2378,14.7,100.0,-5.3,-0.5
764,2382,14.7,99.6,-5.3,-0.5
763,2386,14.6,98.5,-5.3,-0.5
763,2388,14.5,96.9,-5.3,-0.5
763,2393,14.4,97.0,-5.3,-0.5
762,2396,14.4,98.1,-5.3,-0.4
762,2400,14.4,98.1,-5.2,-0.4
762,2405,14.4,97.8,-5.2,-0.4
761,2407,14.4,97.5,-5.2,-0.4
761,2410,14.4,95.7,-5.2,-0.4
761,2414,14.4,93.3,-5.2,-0.4
760,2418,14.4,92.1,-5.2,-0.3
760,2422,14.4,92.4,-5.1,-0.3
760,2426,14.4,92.9,-5.1,-0.3
759,2429,14.4,93.0,-5.1,-0.3
759,2433,14.4,92.9,-5.1,-0.3
759,2436,14.4,93.0,-5.1,-0.3
758,2441,14.4,93.0,-5.1,-0.3
758,2444,14.4,93.2,-5.1,-0.2
758,2447,14.4,93.3,-5.1,-0.2
757,2452,14.4,93.3,-5.1,-0.2
757,2455,14.4,93.1,-5.1,-0.2
757,2459,14.4,93.0,-5.1,-0.2
756,2463,14.4,92.9,-5.2,-0.2
756,2467,14.3,92.9,-5.2,-0.2
756,2470,14.3,92.9,-5.2,-0.2
755,2475,14.3,92.9,-5.2,-0.2
755,2480,14.3,92.7,-5.2,-0.2
754,2483,14.3,92.5,-5.2,-0.2
754,2487,14.3,92.2,-5.2,-0.2
754,2492,14.3,92.1,-5.2,-0.2
753,2496,14.3,91.8,-5.2,-0.2
753,2501,14.3,91.6,-5.2,-0.2
752,2507,14.3,91.6,-5.2,-0.2
752,2510,14.3,91.5,-5.2,-0.2
752,2514,14.3,91.4,-5.2,-0.2
751,2518,14.3,91.3,-5.2,-0.2
751,2524,14.3,91.1,-5.2,-0.1
751,2529,14.3,90.9,-5.1,-0.1
750,2532,14.3,90.5,-5.1,-0.1
750,2536,14.3,90.1,-5.1,0.0
749,2541,14.4,89.8,-5.1,0.0
749,2546,14.4,89.7,-5.1,0.1
748,2550,14.4,89.8,-5.0,0.1
748,2554,14.4,89.9,-5.0,0.2
748,2559,14.4,89.9,-5.0,0.2
747,2567,14.4,89.9,-5.0,0.3
747,2575,14.4,89.8,-5.0,0.4
746,2581,14.4,89.4,-5.0,0.5
746,2586,14.4,89.2,-4.9,0.6
745,2590,14.3,89.3,-4.9,0.6
745,2595,14.3,89.4,-4.8,0.7
744,2600,14.3,89.6,-4.8,0.8
744,2603,14.3,89.6,-4.9,0.9
743,2607,14.3,89.5,-4.9,1.0
743,2613,14.3,89.4,-4.9,1.1
743,2617,14.2,89.4,-4.9,1.1
742,2621,14.2,89.5,-4.9,1.2
742,2626,14.2,89.8,-4.8,1.2
741,2630,14.1,90.0,-4.8,1.3
741,2635,14.1,90.4,-4.9,1.4
741,2640,14.1,90.8,-4.9,1.4
740,2644,14.0,90.9,-4.9,1.4
740,2649,14.0,91.1,-4.9,1.4
739,2654,14.0,91.4,-4.9,1.4
739,2660,13.9,91.7,-5.0,1.5
739,2664,13.9,91.8,-5.0,1.5
738,2669,13.9,91.8,-5.0,1.5
738,2675,13.8,92.0,-5.0,1.5
737,2680,13.8,92.2,-5.0,1.5
737,2685,13.7,92.3,-5.0,1.5
736,2691,13.7,92.4,-5.0,1.5
736,2696,13.6,92.3,-5.0,1.5
735,2701,13.6,92.4,-5.0,1.4
735,2705,13.5,92.7,-5.0,1.4
735,2711,13.5,92.9,-5.0,1.4
734,2716,13.5,93.2,-5.0,1.4
734,2720,13.5,93.3,-5.0,1.4
733,2725,13.4,93.5,-5.0,1.4
733,2729,13.4,93.8,-5.0,1.4
732,2734,13.3,94.1,-5.0,1.4
732,2738,13.3,94.5,-5.1,1.4
732,2744,13.3,94.7,-5.1,1.4
731,2747,13.2,94.8,-5.1,1.4
731,2753,13.2,94.9,-5.1,1.5
730,2757,13.2,95.1,-5.1,1.5
730,2762,13.1,95.4,-5.1,1.5
730,2767,13.1,95.5,-5.1,1.5
729,2772,13.1,95.6,-5.1,1.5
729,2777,13.0,95.7,-5.1,1.5
728,2781,13.0,95.8,-5.1,1.5
728,2786,13.0,95.9,-5.1,1.5
728,2792,12.9,96.1,-5.2,1.6
727,2796,12.9,96.2,-5.2,1.6
727,2802,12.9,96.2,-5.2,1.6
726,2805,12.8,96.1,-5.1,1.6
726,2809,12.8,96.2,-5.1,1.7
726,2814,12.8,96.3,-5.1,1.7
725,2819,12.7,96.4,-5.2,1.7
725,2822,12.7,96.5,-5.2,1.7
724,2827,12.7,96.8,-5.2,1.8
724,2833,12.6,97.1,-5.2,1.8
723,2839,12.6,97.2,-5.2,1.8
723,2845,12.6,96.9,-5.2,1.8
723,2850,12.6,96.6,-5.2,1.8
722,2854,12.5,96.6,-5.2,1.9
722,2859,12.5,96.6,-5.3,1.9
721,2864,12.5,96.5,-5.3,1.9
721,2870,12.5,96.3,-5.2,2.0
720,2874,12.5,96.0,-5.2,2.0
720,2879,12.4,95.8,-5.2,2.0
720,2883,12.4,95.6,-5.2,2.0
719,2888,12.4,95.7,-5.2,2.1
719,2893,12.4,96.0,-5.3,2.1
718,2898,12.3,96.2,-5.3,2.1
718,2903,12.3,96.3,-5.3,2.2
717,2910,12.3,96.2,-5.3,2.2
717,2915,12.2,95.9,-5.3,2.2
717,2921,12.3,95.4,-5.3,2.2
716,2925,12.3,95.1,-5.3,2.3
716,2930,12.2,95.1,-5.3,2.3
715,2935,12.2,95.3,-5.3,2.3
715,2940,12.2,95.4,-5.3,2.3
714,2944,12.1,95.5,-5.3,2.3
714,2948,12.1,95.6,-5.3,2.3
714,2953,12.1,95.6,-5.3,2.3
713,2957,12.1,95.5,-5.3,2.3
713,2961,12.1,95.5,-5.3,2.3
713,2966,12.0,95.7,-5.3,2.3
712,2971,12.0,95.6,-5.3,2.3
712,2975,12.0,95.3,-5.3,2.3
711,2979,12.0,95.0,-5.3,2.3
711,2984,11.9,94.9,-5.3,2.3
711,2988,11.9,95.0,-5.3,2.3
710,2994,11.9,95.3,-5.3,2.3
710,2998,11.8,95.8,-5.3,2.3
709,3002,11.8,96.1,-5.3,2.3
709,3008,11.7,96.4,-5.3,2.3
709,3011,11.7,96.7,-5.3,2.3
708,3018,11.6,97.0,-5.3,2.3
708,3023,11.6,97.4,-5.3,2.4
707,3029,11.5,97.4,-5.3,2.4
707,3035,11.5,97.2,-5.3,2.4
706,3039,11.5,97.0,-5.3,2.4
706,3042,11.5,97.1,-5.3,2.5
706,3048,11.4,97.4,-5.2,2.5
705,3052,11.4,97.6,-5.2,2.5
705,3056,11.3,97.9,-5.2,2.6
705,3061,11.3,98.0,-5.2,2.6
704,3065,11.3,98.1,-5.2,2.6
704,3071,11.2,97.8,-5.2,2.7
703,3076,11.2,97.4,-5.2,2.8
703,3081,11.2,97.1,-5.2,2.8
702,3086,11.2,97.0,-5.2,2.9
702,3091,11.2,96.6,-5.1,2.9
702,3096,11.2,96.2,-5.1,2.9
701,3100,11.1,96.1,-5.1,3.0
701,3104,11.1,96.2,-5.1,3.0
701,3109,11.1,96.3,-5.0,3.1
700,3113,11.0,96.2,-5.0,3.1
700,3118,11.0,95.5,-5.0,3.2
699,3121,11.1,94.5,-4.8,3.2
699,3127,11.1,93.8,-4.8,3.2
699,3130,11.1,93.5,-4.8,3.3
698,3134,11.1,93.4,-4.7,3.3
698,3139,11.1,93.3,-4.6,3.3
698,3146,11.1,93.2,-4.6,3.4
697,3151,11.1,93.3,-4.5,3.4
697,3156,11.0,93.4,-4.4,3.4
696,3160,11.0,93.5,-4.3,3.4
696,3165,11.0,93.7,-4.3,3.4
695,3170,10.9,93.9,-4.3,3.5
695,3175,10.9,94.1,-4.2,3.4
694,3183,10.9,94.0,-4.1,3.5
694,3190,10.9,93.4,-4.0,3.4
693,3195,10.9,92.0,-4.0,3.5
693,3202,11.0,90.5,-3.9,3.4
692,3208,11.0,89.8,-3.9,3.5
692,3214,11.0,89.8,-3.9,3.5
691,3219,10.9,90.0,-3.8,3.5
691,3224,10.9,90.1,-3.7,3.5
691,3229,10.8,90.2,-3.7,3.5
690,3233,10.8,90.4,-3.7,3.5
690,3238,10.8,90.8,-3.7,3.5
689,3243,10.7,91.3,-3.7,3.5
689,3248,10.7,91.8,-3.7,3.6
689,3252,10.6,92.2,-3.6,3.6
688,3258,10.6,92.6,-3.6,3.6
688,3263,10.5,92.8,-3.6,3.6
687,3269,10.5,93.1,-3.6,3.6
687,3272,10.5,93.2,-3.7,3.7
687,3277,10.4,93.3,-3.7,3.7
686,3282,10.4,93.1,-3.6,3.7
686,3287,10.4,92.4,-3.6,3.7
685,3292,10.5,91.3,-3.6,3.7
685,3297,10.6,90.5,-3.6,3.7
685,3302,10.6,90.0,-3.6,3.7
